open_time;open;high;low;close;volume;close_time;quote_asset_volume;number_of_trades;taker_buy_base_asset_volume;taker_buy_quote_asset_volume;ignore;symbol;timestamp
1635897600000;3967.36000000;4028.40000000;3850.00000000;3969.25;34759.26671000;1635983999999;137319794.44370550;153070;17762.31584000;70173687.71063510;0;ETHEUR;2021-11-03
1635984000000;3970.20000000;3972.81000000;3835.68000000;3929.0;30750.20610000;1636070399999;120059952.69764200;123329;14609.35980000;57031656.82826600;0;ETHEUR;2021-11-04
1636070400000;3928.77000000;3964.59000000;3866.04000000;3894.5;21172.67960000;1636156799999;82795751.22741100;98162;10404.23580000;40689655.78595500;0;ETHEUR;2021-11-05
1636156800000;3894.29000000;3943.00000000;3770.30000000;3925.96;24005.99640000;1636243199999;92780438.56408000;89909;11711.19450000;45268488.78462600;0;ETHEUR;2021-11-06
1636243200000;3926.73000000;4032.49000000;3915.03000000;4013.28;20875.88890000;1636329599999;83193726.25521300;78677;10688.20580000;42597454.72741000;0;ETHEUR;2021-11-07
1636329600000;4013.97000000;4163.99000000;4012.92000000;4150.98;25255.96473000;1636415999999;103568920.70107580;91436;12073.34263000;49508443.45249380;0;ETHEUR;2021-11-08
1636416000000;4151.19000000;4177.00000000;4073.01000000;4096.04;23537.28489000;1636502399999;97331443.93737910;86358;11664.50389000;48245854.97666510;0;ETHEUR;2021-11-09
1636502400000;4095.82000000;4221.00000000;3911.59000000;4046.0;39090.91139000;1636588799999;159672915.13925460;137334;19052.64899000;77797945.06112160;0;ETHEUR;2021-11-10
1636588800000;4044.90000000;4192.61000000;3995.70000000;4144.98;22555.15410000;1636675199999;92720530.70129000;86817;11870.89010000;48825267.68412700;0;ETHEUR;2021-11-11
1636675200000;4144.79000000;4219.18000000;3954.12000000;4094.34;37099.04810000;1636761599999;151072785.95254100;113099;19348.24630000;78827870.63958500;0;ETHEUR;2021-11-12
1636761600000;4094.04000000;4130.24000000;4024.26000000;4081.32;21459.53690000;1636847999999;87539337.12904300;61192;10801.22060000;44051235.97910200;0;ETHEUR;2021-11-13
1636848000000;4081.31000000;4126.83000000;3969.75000000;4066.73;29354.21610000;1636934399999;118471070.79818600;73076;14250.11490000;57506148.11960200;0;ETHEUR;2021-11-14
1636934400000;4066.33000000;4170.94000000;4000.95000000;4023.3;28172.77790000;1637020799999;115176536.17389700;100924;14592.01700000;59674876.99148600;0;ETHEUR;2021-11-15
1637020800000;4023.15000000;4023.15000000;3623.00000000;3730.22;57846.23420000;1637107199999;219412243.97288700;182248;30392.60110000;115274546.54146900;0;ETHEUR;2021-11-16
1637107200000;3729.82000000;3809.21000000;3600.41000000;3799.99;42434.29240000;1637193599999;157379846.18697700;142196;22245.57740000;82546903.64476300;0;ETHEUR;2021-11-17
1637193600000;3799.99000000;3845.47000000;3486.42000000;3518.91;45828.39720000;1637279999999;167341759.16672100;144081;23905.22730000;87362028.84502900;0;ETHEUR;2021-11-18
1637280000000;3519.25000000;3820.47000000;3499.57000000;3812.09;40883.73850000;1637366399999;150072831.50187100;120468;21969.57170000;80715229.84878900;0;ETHEUR;2021-11-19
1637366400000;3813.00000000;3947.38000000;3740.00000000;3925.22;29130.42250000;1637452799999;111747735.38743500;91221;14802.69160000;56805845.92595600;0;ETHEUR;2021-11-20
1637452800000;3924.94000000;3935.64000000;3770.30000000;3783.96;22327.75940000;1637539199999;86379364.62937600;66853;11000.53770000;42562780.31168500;0;ETHEUR;2021-11-21
1637539200000;3784.59000000;3833.56000000;3587.10000000;3639.02;38261.35920000;1637625599999;142067056.27474700;106724;19776.18480000;73425103.98645900;0;ETHEUR;2021-11-22
1637625600000;3639.65000000;3899.99000000;3609.41000000;3858.62;35492.00440000;1637711999999;132982088.29230000;104188;18148.10300000;67990988.90228100;0;ETHEUR;2021-11-23
1637712000000;3858.63000000;3888.44000000;3720.32000000;3816.34;31888.61260000;1637798399999;121204891.50145100;96518;16086.69240000;61136939.82836000;0;ETHEUR;2021-11-24
1637798400000;3816.69000000;4060.63000000;3796.86000000;4036.86;28394.88440000;1637884799999;111533717.33908300;101443;15152.99020000;59470015.19260300;0;ETHEUR;2021-11-25
1637884800000;4037.49000000;4060.91000000;3472.05000000;3585.0;47675.38490000;1637971199999;176075441.49205100;159263;23573.76570000;87108120.05001300;0;ETHEUR;2021-11-26
1637971200000;3585.35000000;3712.09000000;3573.60000000;3638.18;22767.70080000;1638057599999;83197424.67263000;74995;11233.97640000;41052037.50011800;0;ETHEUR;2021-11-27
1638057600000;3637.74000000;3815.50000000;3516.00000000;3813.0;24831.44140000;1638143999999;90437392.14246100;87612;12381.85720000;45128383.51178600;0;ETHEUR;2021-11-28
1638144000000;3812.51000000;3961.13000000;3796.50000000;3937.65;27361.52520000;1638230399999;105848799.69601900;100563;13569.18530000;52495759.41992600;0;ETHEUR;2021-11-29
1638230400000;3938.26000000;4172.20000000;3848.28000000;4087.89;54964.43060000;1638316799999;221477423.55097700;173088;28229.37890000;113768996.62165000;0;ETHEUR;2021-11-30
1638316800000;4087.89000000;4223.00000000;4001.68000000;4052.59;35668.47070000;1638403199999;147700297.18384300;140613;17577.51420000;72815581.23995000;0;ETHEUR;2021-12-01
1638403200000;4052.59000000;4088.31000000;3929.35000000;3997.5;33841.62500000;1638489599999;135650002.23921000;123976;16631.18760000;66676042.87228600;0;ETHEUR;2021-12-02
1638489600000;3996.89000000;4118.49000000;3590.00000000;3737.04;57536.26640000;1638575999999;223233066.38426100;187087;28542.16910000;110807650.01894900;0;ETHEUR;2021-12-03
1638576000000;3737.00000000;3756.36000000;3185.30000000;3680.65;80454.71440000;1638662399999;284365666.81230200;244349;40283.68390000;142477055.12329800;0;ETHEUR;2021-12-04
1638662400000;3680.22000000;3780.12000000;3586.79000000;3719.0;65133.72530000;1638748799999;241093432.66125600;190048;33186.05130000;122826265.21006900;0;ETHEUR;2021-12-05
1638748800000;3719.49000000;3882.98000000;3470.67000000;3861.0;47993.47080000;1638835199999;174478081.72509800;154616;23887.28960000;86876103.34715900;0;ETHEUR;2021-12-06
1638835200000;3859.51000000;3936.05000000;3781.08000000;3825.42;22486.29160000;1638921599999;86926827.53684200;85005;11827.79770000;45720917.74186300;0;ETHEUR;2021-12-07
1638921600000;3825.52000000;3938.89000000;3750.63000000;3916.0;23066.12890000;1639007999999;88777896.24106200;86767;12428.96530000;47833206.93312600;0;ETHEUR;2021-12-08
1639008000000;3916.54000000;3960.55000000;3615.03000000;3639.0;29417.33200000;1639094399999;110821813.04283500;101343;14633.24190000;55101096.41081500;0;ETHEUR;2021-12-09
1639094400000;3639.19000000;3755.71000000;3444.95000000;3456.0;35085.97190000;1639180799999;126360352.97989600;105922;17871.28790000;64370545.33501700;0;ETHEUR;2021-12-10
1639180800000;3454.88000000;3632.50000000;3398.45000000;3625.5;28327.49380000;1639267199999;100705152.08329500;87090;13932.61050000;49539386.09331600;0;ETHEUR;2021-12-11
1639267200000;3626.44000000;3694.77000000;3537.44000000;3657.0;18199.85750000;1639353599999;65679157.42148700;64513;8918.88600000;32195070.66072500;0;ETHEUR;2021-12-12
1639353600000;3656.16000000;3666.68000000;3256.00000000;3356.82;40395.73990000;1639439999999;139155455.80171700;117377;20718.03360000;71332387.19138000;0;ETHEUR;2021-12-13
1639440000000;3357.70000000;3450.60000000;3270.53000000;3430.86;30285.41380000;1639526399999;101944634.48337400;91293;15608.20610000;52537335.59320800;0;ETHEUR;2021-12-14
